month	EN	RU	ES	PT	FR	DE	IT	JP	KR	AR	TR	VI	NL	HE	ID	PL	UA
1	Jan	янв	ENE	Jan.	JAN	Jan	gen	1月	1월	يناير	Oca	Th.1	jan	ינואר	Jan	Sty	січ.
2	Feb	фев	FEB	Fev.	FÉV	Feb	feb	2月	2월	فبراير	Şub	Th.2	feb	פברואר	Feb	Lut	лют.
3	Mar	март	MAR	Mar.	MAR	Mär	mar	3月	3월	مارس	Mar	Th.3	mrt	מרץ	Mar	Mär	бер.
4	Apr	апр	ABR	Abr.	AVR	Apr	apr	4月	4월	أبريل	Nis	Th.4	apr	אפריל	Apr	Kwi	квіт.
5	May	мая	MAY	Mai.	MAI	Mai	mag	5月	5월	مايو	May	Th.5	mei	מאי	Mei	Maj	трав.
6	Jun	июнь	JUN	Jun.	JUN	Jun	giu	6月	6월	يونيو	Haz	Th.6	jun	יוני	Jun	Cze	черв.
7	Jul	июль	JUL	Jul.	JUL	Jul	lug	7月	7월	يوليو	Tem	Th.7	jul	יולי	Jul	Lip	лип.
8	Aug	авг	AGO	Ago.	AOÛ	Aug	ago	8月	8월	أغسطس	Ağu	Th.8	aug	אוגוסט	Agu	Sie	серп.
9	Sep	сен	SEP	Set.	SEP	Sep	set	9月	9월	سبتمبر	Eyl	Th.9	sept	ספטמבר	Sep	Wrz	вер.
10	Oct	окт	OCT	Out.	OCT	Okt	ott	10月	10월	أكتوبر	Eki	Th.10	okt	אוקטובר	Okt	Paź	жов.
11	Nov	нояб	NOV	Nov.	NOV	Nov	nov	11月	11월	نوفمبر	Kas	Th.11	nov	נובמבר	Nov	Lis	лист.
12	Dec	дек	DIC	Dez.	DÉC	Dez	dic	12月	12월	ديسمبر	Ara	Th.12	dec	דצמבר	Des	Gru	груд.
